Codigo_Familia	Familia	Grau	Categoria	Modalidade	Genero
3211	Calções/Shorts Homem Banho Curtos	4	Textil		
3212	Calções/Shorts Homem Banho Médios	4	Textil		
3213	Calções/Shorts Homem Banho Compridos	4	Textil		
3214	Calções/Shorts Senhora Banho Curtos	4	Textil		
3215	Calções/Shorts Senhora Banho Médios	4	Textil		
3216	Calções/Shorts Senhora Banho Compridos	4	Textil		
3217	Calções/Shorts Junior Banho Curtos	4	Textil		
3218	Calções/Shorts Junior Banho Médios	4	Textil		
3219	Calções/Shorts Junior  Banho Compridos	4	Textil		
3221	Calções Homem Passeio Curtos	4	Textil		
3222	Calções Homem Passeio Médios	4	Textil		
3223	Calções Homem Passeio Compridos	4	Textil		
3224	Calções Senhora Passeio Curtos	4	Textil		
3225	Calções Senhora Passeio Médios	4	Textil		
3226	Calções Senhora Passeio Compridos	4	Textil		
3227	Calções Junior Passeio Curtos	4	Textil		
3228	Calções Junior Passeio Médios	4	Textil		
3229	Calções Junior Passeio Compridos	4	Textil		
3231	Calções Atlétismo Homem Senhora Prova	4	Textil		
3232	Calções Atlétismo Homem Senhora Licra	4	Textil		
3233	Calções Atletismo Homem Senhora Treino	4	Textil		
3236	Cueca Atletismo Senhora Prova	4	Textil		
3241	Calções Ciclismo Homem com Reforço	4	Textil		
3242	Calções Ciclismo Homem Licra sem Reforço	4	Textil		
3243	Calções Ciclismo Homem Com Alsas com Reforço	4	Textil		
3249	Camisolas Ciclismo	4	Textil		
3251	Calções Algodão/Licra Treino Senhora	4	Textil		
3252	Calções Algodão Treino Homem	4	Textil		
3253	Calções Microfibra/Poliester Treino Homem	4	Textil		
3254	Calções Algodão Treino Rapariga	4	Textil		
3255	Calções Algodão Treino Senhora	4	Textil		
3256	Calções Algodão Treino Junior	4	Textil		
3257	Calções Algodão/Licra Treino Rapariga	4	Textil		
3258	Calções Microfibra/Poliester Treino Junior	4	Textil		
3259	Calções Microfibra/Poliester Treino Senhora	4	Textil		
3261	Calções Futebol Treino Homem	4	Textil		
3262	Calções Futebol Treino Junior	4	Textil		
3271	Calções Basquetebol Simples	4	Textil		
3272	Calções Basquetebol Reversiveis	4	Textil		
3281	Calções Ténis Adulto/Homem	4	Textil		
3282	Calções Ténis Junior	4	Textil		
3283	Saia-Calção Ténis Senhora/Menina	4	Textil		
3311	T-s Homem Simples	4	Textil		
3312	T-s Homem Estampa á Frente	4	Textil		
3313	T-s Homem Estampa Atrás	4	Textil		
3314	T-s Homem Decote em Bico	4	Textil		
3315	T-s Homem de Cavas	4	Textil		
3316	T-s Homem Piquet	4	Textil		
3317	T-s Homem Licra/Poliester	4	Textil		
3318	T-s Homem Estampa na Manga	4	Textil		
3319	T-s Homem Estampa de Lado	4	Textil		
3321	T-s Senhora Simples	4	Textil		
3322	T-s Senhora Estampa á Frente	4	Textil		
3323	T-s Senhora Estampa Atrás	4	Textil		
3324	T-s Senhora Decote em Bico	4	Textil		
3325	Top Senhora	4	Textil		
3326	T-s Senhora de Cavas	4	Textil		
3327	T-s Senhora de Alsas	4	Textil		
3328	T-s Senhora Gola Larga	4	Textil		
3329	T-s Senhora Licra/Poliester	4	Textil		
3331	T-s Rapaz Simples	4	Textil		
3332	T-s Rapaz Estampa á Frente	4	Textil		
3333	T-s Rapaz Estampa Atrás	4	Textil		
3334	T-s Rapaz Decote em Bico	4	Textil		
3335	T-s Rapaz de Cavas	4	Textil		
3336	T-s Rapaz Poliester/Licra	4	Textil		
3339	T-s Rapaz Estampa de Lado	4	Textil		
3341	T-s Rapariga Simples	4	Textil		
3342	T-s Rapariga Estampa á Frente	4	Textil		
3343	T-s Rapariga Estampa Atrás	4	Textil		
3344	T-s Rapariga Decote em Bico	4	Textil		
3345	T-s Rapariga de Cavas	4	Textil		
3346	Top Rapariga	4	Textil		
3347	T-s Rapariga Capuz	4	Textil		
3348	T-s Rapariga Alsas	4	Textil		
3349	T-s Rapariga Licra/Poliester	4	Textil		
3351	T-s Bebé Simples	4	Textil		
3352	T-s Bebé Riscas	4	Textil		
3353	T-s Bebé Estampada	4	Textil		
3354	T-s Bebé Cavas	4	Textil		
3361	T-s Atletismo Homem	4	Textil		
3362	T-s Atletismo Senhora	4	Textil		
3363	T-s Atletismo Junior	4	Textil		
3364	LS/Sweat Atletismo Homem	4	Textil		
3365	LS/Sweat Atletismo Senhora	4	Textil		
3366	LS/Sweat Atletismo Junior	4	Textil		
3371	T-s Basquetebol Homem	4	Textil		
3372	T-s Basquetebol Junior	4	Textil		
3381	Polos Ténis Homem	4	Textil		
3382	T-s / Tops Ténis Senhora	4	Textil		
3383	Polos Ténis Rapaz	4	Textil		
3384	T-s / Tops Ténis Rapariga	4	Textil		
3411	Sweats Homem Algodão Cardadas	4	Textil		
3412	Sweats Homem Algodão sem Carda	4	Textil		
3413	T-s Homem Algodão LongSleeve	4	Textil		
3414	Sweats Homem Algodão c/Capuz Sem Carda	4	Textil		
3415	Sweats Homem Malha Polar	4	Textil		
3416	Sweats Homem Algodão c/Capuz Cardada	4	Textil		
3417	Casaco Homem FullZip Acetato-Microfibra	4	Textil		
3418	Casaco Homem FullZip Algodão Sem Carda	4	Textil		
3419	Casaco Homem FullZip Algodão Cardado	4	Textil		
3421	Sweats Senhora Algodão Cardadas	4	Textil		
3422	Sweats Senhora Algodão sem Carda	4	Textil		
3423	T-s Senhora Algodão LongSleeve	4	Textil		
3424	Sweats Senhora Algodão c/Capuz Sem Carda	4	Textil		
3425	Sweats Senhora Malha Polar	4	Textil		
3426	Sweats Senhora Algodão c/Capuz Cardada	4	Textil		
3427	Casaco Senhora Fullzip Acetato/Microfibra	4	Textil		
