Codigo_Familia	Familia	Grau
3256	Calções Algodão Treino Junior	4
3257	Calções Algodão/Licra Treino Rapariga	4
3258	Calções Microfibra/Poliester Treino Junior	4
3259	Calções Microfibra/Poliester Treino Senhora	4
326	CALÇÕES DE FUTEBOL	3
3261	Calções Futebol Treino Homem	4
3262	Calções Futebol Treino Junior	4
327	CALÇÕES DE BASQUETEBOL	3
3271	Calções Basquetebol Simples	4
3272	Calções Basquetebol Reversiveis	4
328	CALÇÕES TÉNIS	3
3281	Calções Ténis Adulto	4
3282	Calções Ténis Junior	4
3283	Saia-Calção Ténis Senhora/Menina	4
33	TEE-SHIRTS - TOPS	2
331	T-S HOMEM	3
3311	T-s Homem Simples	4
3312	T-s Homem Estampa á Frente	4
3313	T-s Homem Estampa Atrás	4
3314	T-s Homem Decote em Bico	4
3315	T-s Homem de Cavas	4
3316	T-s Homem Piquet	4
3317	T-s Homem Licra/Poliester	4
3318	T-s Homem Estampa na Manga	4
3319	T-s Homem Estampa de Lado	4
332	T-S SENHORA	3
3321	T-s Senhora Simples	4
3322	T-s Senhora Estampa á Frente	4
3323	T-s Senhora Estampa Atrás	4
3324	T-s Senhora Decote em Bico	4
3325	Top Senhora	4
3326	T-s Senhora de Cavas	4
3327	T-s Senhora de Alsas	4
3328	T-s Senhora Gola Larga	4
3329	T-s Senhora Licra/Licra Suplex	4
333	T-S RAPAZ	3
3331	T-s Rapaz Simples	4
3332	T-s Rapaz Estampa á Frente	4
3333	T-s Rapaz Estampa Atrás	4
3334	T-s Rapaz Decote em Bico	4
3335	T-s Rapaz de Cavas	4
3336	T-s Rapaz Poliester/Licra	4
3339	T-s Rapaz Estampa de Lado	4
334	T-S RAPARIGA	3
3341	T-s Rapariga Simples	4
3342	T-s Rapariga Estampa á Frente	4
3343	T-s Rapariga Estampa Atrás	4
3344	T-s Rapariga Decote em Bico	4
3345	T-s Rapariga de Cavas	4
3346	Top Rapariga	4
3347	T-s Rapariga Capuz	4
3348	T-s Rapariga Alsas	4
335	T-S BEBÉ	3
3351	T-s Bebé Simples	4
3352	T-s Bebé Riscas	4
3353	T-s Bebé Estampada	4
3354	T-s Bebé Cavas	4
336	T-S ATLETISMO	3
3361	T-s Atletismo Adulto	4
3362	T-s Atletismo Senhora	4
3363	T-s Atletismo Junior	4
3364	LS/Sweat Atletismo Adulto	4
3365	LS/Sweat Atletismo Senhora	4
3366	LS/Sweat Atletismo Junior	4
337	T-S BASQUETEBOL	3
3371	T-s Basquetebol Adulto	4
3372	T-s Basquetebol Junior	4
338	T-S / TOP TÉNIS	3
3381	Polos Ténis Homem	4
3382	T-s / Tops Ténis Senhora	4
3383	Polos Ténis Rapaz	4
3384	T-s / Tops Ténis Rapariga	4
34	SWEATS - LONG-SLEEVES	2
341	SWEATS HOMEM	3
3411	Sweats Homem Algodão Cardadas	4
3412	Sweats Homem Algodão sem Carda	4
3413	T-s Homem Algodão LongSleeve	4
3414	Sweats Homem Algodão c/Capuz	4
3415	Sweats Homem Malha Polar	4
3416	Sweats Homem Gola Alta	4
3417	Casaco Homem FullZip Acetato-Microfibra	4
3418	Casaco Homem FullZip Algodão Sem Carda	4
3419	Casaco Homem FullZip Algodão Cardado	4
342	SWEATS SENHORA	3
3421	Sweats Senhora Algodão Cardadas	4
3422	Sweats Senhora Algodão sem Carda	4
3423	T-s Senhora Algodão LongSleeve	4
3424	Sweats Senhora Algodão c/Capuz	4
3425	Sweats Senhora Malha Polar	4
3426	Sweats Senhora Gola Alta	4
3427	Casaco Senhora Fullzip Acetato/Microfibra	4
3428	Casaco Senhora FullZip Algodão sem Carda	4
3429	Casaco Senhora FullZip Algodão Cardado	4
343	SWEATS RAPAZ	3
3431	Sweats Rapaz Algodão Cardadas	4
3432	Sweats Rapaz Algodão sem Carda	4
3433	T-s Rapaz Algodão LongSleeve	4
3434	Sweats Rapaz Algodão c/Capuz	4
3435	Sweats Rapaz Algodão Gola Alta	4
3436	Sweats Rapaz Polar	4
3437	Sweats Rapaz Fullzip Acetato	4
3438	Casaco Rapaz FullZip Algodão Sem Carda	4
3439	Casaco Rapaz FullZip Algodão Cardado	4
344	SWEATS RAPARIGA	3
3441	Sweats Rapariga Algodão Cardadas	4
3442	Sweats Rapariga Algodão sem Carda	4
3443	T-s Rapariga Algodão LongSleeve	4
3444	Sweats Rapariga Algodão c/Capuz	4
3445	Casaco Rapariga FullZip Acetato	4
3446	Sweats Rapariga Algodão Gola Alta	4
3447	Sweats Rapariga Malha Polar	4
3448	Casaco Rapariga FullZip Algodão Sem Carda	4
3449	Casaco Rapariga FullZip Algodão Cardado	4
345	SWEATS BEBÉ	3
3451	Sweats Bebé Algodão Cardadas	4
3452	Sweats Bebé Algodão sem Carda	4
3453	T-s Bebé Algodão LongSleeve	4
3454	Sweats Bebé Algodão c/Capuz	4
3455	Sweats Bebé Malha Polar	4
3456	Casaco Bebé Algodão c/Capuz	4
35	CALÇAS - BERMUDAS - VESTIDOS	2
351	CALÇAS HOMEM	3
3511	Calças Homem Algodão Cardadas	4
3512	Calças Homem Algodão sem Carda	4
3513	Calças Homem Acetato/Poliamida	4
3514	Calças Homem Poliester/Microfibra	4
3515	Calças Homem de Passeio (Sarja/Ganga)	4
3517	Calças Homem Yoga	4
3518	Calças Homem Hip-Hop	4
3519	Calças Homem de Licra - Atletismo	4
352	CALÇAS SENHORA	3
3521	Calças Senhora Algodão Cardadas	4
3522	Calças Senhora Algodão sem Carda	4
3523	Calças Senhora Acetato	4
3524	Calças Senhora Poliester/Microfibra	4
3525	Calças Senhora Algodão Licra/Suplex	4
3526	Calças Senhora de Passeio (Sarja/Ganga)	4
3527	Calças Senhora Yoga	4
3528	Calças Senhora Hip-Hop	4
3529	Calças Senhora de Licra - Atletismo	4
353	CALÇAS RAPAZ	3
3531	Calças Rapaz Algodão Cardadas	4
3532	Calças Rapaz Algodão sem Carda	4
3533	Calças Rapaz Acetato	4
3534	Calças Rapaz Poliester/Microfibra	4
3535	Calças Rapaz de Passeio (Sarja/Ganga)	4
3536	Calças Rapaz de Licra - Atletismo	4
354	CALÇAS RAPARIGA	3
3541	Calças Rapariga Algodão Cardadas	4
3542	Calças Rapariga Algodão sem Carda	4
3543	Calças Rapariga Acetato	4
3544	Calças Rapariga Poliester/Microfibra	4
3545	Calças Rapariga de Passeio (Sarja/Ganga)	4
3546	Calças Rapariga Algodão Licra/Suplex	4
3547	Calças Rapariga de Licra - Atletismo	4
355	CALÇAS BEBÉ	3
3551	Calças Bebé Algodão Cardadas	4
3552	Calças Bebé Algodão sem Carda	4
3553	Calças Bebé Tecido - p/passeio	4
3554	Calças Bebé Microfibra	4
357	BERMUDAS - LEGGINGS	3
3571	Bermudas Homem	4
3572	Bermudas Senhora	4
3573	Bermudas Rapaz	4
3574	Bermudas Rapariga	4
3575	Bermudas Bebé	4
3576	Leggings Senhora	4
3577	Leggings Rapariga	4
359	VESTIDOS/SAIAS	3
3591	Vestidos Senhora	4
3592	Saias Senhora	4
3593	Pareo Senhora / Rapariga	4
3594	Saia-Calção Senhora	4
3595	Vestidos/Saias de Rapariga	4
3596	Saia-Calção Rapariga	4
3597	Vestidos/Saias de Bebé	4
36	FATOS DE BANHO - BIKINIS NATAÇÃO	2
361	FATOS DE BANHO HOMEM	3
3611	Tanga Homem Piscina	4
3612	Shorts Homem c/Perna Piscina	4
3613	Sunga Homem Piscina	4
3619	Fatos de Banho Homem Competição Piscina	4
362	FATOS DE BANHO SENHORA	3
3621	Fatos de Banho Senhora Piscina	4
3622	Fatos de Banho Senhora Praia	4
3623	Fatos de Banho Senhora Ajustável	4
3629	Fatos de Banho Senhora Competição Piscina	4
363	FATOS DE BANHO RAPAZ	3
3631	Tanga Rapaz Piscina	4
3632	Shorts Rapaz c/Perna Piscina	4
3633	Sunga Rapaz Piscina	4
364	FATOS DE BANHO RAPARIGA	3
3641	Fatos de Banho Rapariga Piscina	4
3642	Fatos de Banho Rapariga Praia	4
365	BIKINIS PRAIA / PISCINA	3
3651	Bikini Senhora Top Triângulo	4
3652	Bikini Senhora Top Armação	4
3653	Bikini Senhora c/ Calção	4
3654	Bikini Rapariga Triângulo	4
3655	Bikini Rapariga Armação	4
3656	Bikini Rapariga c/ Calção	4
3657	Bikini Rapariga Top+Cueca	4
3658	Trikinis Senhora	4
3659	Bikini Senhora Top Cai-Cai	4
366	FATOS BANHO BEBÉ	3
3661	Fraldas Calção Bebé Piscina	4
3662	Cueca s/ Top Bebé Piscina	4
3663	T-s UV Banho Piscina	4
3664	Tanga Bebé Piscina	4
3665	Shorts Bebé c/ Perna Piscina	4
3666	Fatos de Banho Bebé Piscina	4
3667	Bikini Bebé Piscina	4
37	BLUSÕES - CASACOS	2
371	BLUSÕES/CASACOS HOMEM	3
3711	Blusões/Casacos Homem Impermeaveis	4
3712	Blusões/Casacos Homem Curtos	4
3713	Blusões/Casacos Homem Compridos-Parkas	4
3714	Blusões/Casacos Homem Penas	4
3715	Blusões/Casacos Homem Neve/Técnicos	4
3716	Blusões/Casacos Homem Polares	4
3717	Blusões/Casacos Homem Algodão	4
3718	Blusões/Casacos Homem Malha	4
3719	Coletes Homem	4
372	BLUSÕES/CASACOS SENHORA	3
3721	Blusões/Casacos Senhora Impermeaveis	4
3722	Blusões/Casacos Senhora Curtos	4
3723	Blusões/Casacos Senhora Compridos-Parkas	4
3724	Blusões/Casacos Senhora Penas	4
3725	Blusões/Casacos Senhora Neve/Técnicos	4
3726	Blusões/Casacos Senhora Polares	4
3727	Blusões/Casacos Senhora Algodão	4
3728	Blusões/Casacos Senhora Malha	4
3729	Coletes Senhora	4
373	BLUSÕES/CASACOS RAPAZ	3
3731	Blusões/Casacos Rapaz Impermeáveis	4
3732	Blusões/Casacos Rapaz Curtos	4
3733	Blusões/Casacos Rapaz Compridos-Parkas	4
3734	Blusões/Casacos Rapaz Penas	4
3735	Blusões/Casacos Rapaz Neve/Técnicos	4
3736	Blusões/Casacos Rapaz Polares	4
3737	Blusões/Casacos Rapaz Algodão	4
3738	Blusões/Casacos Rapaz Malha	4
3739	Coletes Rapaz	4
374	BLUSÕES/CASACOS RAPARIGA	3
3741	Blusões/Casacos Rapariga Impermeáveis	4
3742	Blusões/Casacos Rapariga Curtos	4
3743	Blusões/Casacos Rapariga Compridos-Parkas	4
3744	Blusões/Casacos Rapariga Penas	4
3745	Blusões/Casacos Rapariga Neve/Técnicos	4
3746	Blusões/Casacos Rapariga Polares	4
3747	Blusões/Casacos Rapariga Algodão	4
3748	Blusões/Casacos Rapariga Malha	4
3749	Coletes Rapariga	4
375	BLUSÕES/CASACOS BEBÉ	3
3751	Blusões/Casacos Bebé Impermeáveis	4
3752	Blusões/Casacos Bebé Curtos	4
3753	Blusões/Casacos Bebé Compridos-Parkas	4
3756	Blusões/Casacos Bebé Polares	4
3759	Coletes Bebé	4
38	POLOS	2
381	POLOS HOMEM	3
3811	Polos Homem Algodão	4
3812	Polos Homem Pique	4
3813	Polos Homem Algodão com Bolso	4
3814	Polos Homem Pique com Bolso	4
3815	Polos Homem Algodão com Fecho	4
3816	Polos Homem Manga Comprida	4
3817	Polos Homem Pique com Fecho	4
3818	Polos Homem Licra/Poliester	4
382	POLOS SENHORA	3
3821	Polos Senhora Algodão	4
3822	Polos Senhora Pique	4
3826	Polos Senhora Manga Comprida	4
383	POLOS RAPAZ	3
3831	Polos Rapaz Algodão	4
3832	Polos Rapaz Pique	4
3836	Polos Rapaz Manga Comprida	4
3838	Polos Rapaz Dri-Fit/Climacool	4
384	POLOS RAPARIGA	3
3841	Polos Rapariga Algodão	4
3842	Polos Rapariga Pique	4
39	CAMISAS - CAMISOLAS - MALHAS	2
391	CAMISAS HOMEM	3
3911	Camisas Homem Manga Curta	4
3912	Camisas Homem Manga Comprida	4
392	CAMISAS SENHORA	3
3921	Camisas Senhora Manga Curta	4
3922	Camisas Senhora Manga Comprida	4
3923	Blusas Senhora	4
3924	Tunicas Senhora	4
393	CAMISAS RAPAZ	3
3931	Camisas Rapaz Manga Curta	4
3932	Camisas Rapaz Manga Comprida	4
394	CAMISA RAPARIGA	3
3941	Camisa Rapariga Manga Curta	4
3942	Camisa Rapariga Manga Comprida	4
3943	Blusa Rapariga	4
3944	Tunicas Rapariga	4
395	CAMISOLAS/MALHAS HOMEM	3
3951	Camisolas/Malhas Homem Gola Redonda	4
3952	Camisolas/Malhas Homem Gola em Bico	4
3953	Camisolas/Malhas Homem Gola Dupla	4
3954	Camisolas/Malhas Homem Gola Alta	4
3955	Camisolas/Malhas Homem 1/2 Fecho	4
3956	Camisolas/Malhas Homem 1/2 Gola	4
3957	Camisolas/Malhas Homem c/Capuz	4
396	CAMISOLAS/MALHAS SENHORA	3
3961	Camisolas/Malhas Senhora Gola Redonda	4
3962	Camisolas/Malhas Senhora Gola em Bico	4
3963	Camisolas/Malhas Senhora Gola Dupla	4
3964	Camisolas/Malhas Senhora Gola Alta	4
3965	Camisolas/Malhas Senhora 1/2 Fecho	4
3966	Camisolas/Malhas Senhora 1/2 Gola	4
3967	Camisolas/Malhas Senhora c/Capuz	4
397	CAMISOLAS/MALHAS RAPAZ	3
3971	Camisolas/Malhas Rapaz Gola Redonda	4
3972	Camisolas/Malhas Rapaz Gola em Bico	4
3973	Camisolas/Malhas Rapaz Gola Dupla	4
3974	Camisolas/Malhas Rapaz Gola Alta	4
3975	Camisolas/Malhas Rapaz 1/2 Fecho	4
3976	Camisolas/Malhas Rapaz 1/2 Gola	4
398	CAMISOLAS/MALHAS RAPARIGA	3
3981	Camisolas/Malhas Rapariga Gola Redonda	4
3982	Camisolas/Malhas Rapariga Gola em Bico	4
3983	Camisolas/Malhas Rapariga Gola Dupla	4
3984	Camisolas/Malhas Rapariga Gola Alta	4
3985	Camisolas/Malhas Rapariga 1/2 Fecho	4
3986	Camisolas/Malhas Rapariga 1/2 Gola	4
399	CAMISOLAS/MALHAS BEBÉ	3
3991	Camisolas/Malhas Bebé Gola Redonda	4
5	ELECTRONICA	1
51	Pulseiras Fitness	2
52	GPS	2
59	Acessórios	2
6	ACESSORIOS TEXTIL	1
61	MEIAS	2
611	MEIAS HOMEM	3
6111	Meias Homem Normais costura por fora	4
6112	Meias Homem Normais costura dentro	4
6113	Meias Homem Finas	4
6114	Meias Homem meio cano	4
6115	Meias Homem sem cano	4
6116	Meias Homem Grossas	4
6117	Meias Homem com Anti-derrapante	4
6118	Meias Homem Atletismo	4
6119	Meias Homem Futebol	4
612	MEIAS SENHORA	3
6121	Meias Senhora Normais Costura por Fora	4
6122	Meias Senhora Normais Costura por dentro	4
6124	Meias Senhora Meio Cano	4
6125	Meias Senhora sem cano	4
6126	Meias Senhora Grossas	4
6128	Meias Senhora Atletismo	4
6129	Meias Senhora Aérobica Filigrana	4
613	MEIAS JUNIOR	3
6131	Meias Junior Normais Costura por Fora	4
6132	Meias Junior Normais Costura por dentro	4
6134	Meias Junior Meio Cano	4
6135	Meias Junior Sem Cano	4
6136	Meias Junior Grossas	4
6139	Meias Junior Futebol	4
614	MEIAS BEBÉ	3
